Tims,Data,Scores,Labels
449,103.0038,,
450,104.1749,3.6812207821607807,2
451,103.4949,,
452,104.2505,,
453,104.6283,,
454,105.1288,,
455,104.6283,0.5362056856566741,0
456,103.4193,,
457,105.8939,,
458,105.4027,,
459,105.5822,,
460,104.0899,3.1246174723453772,2
461,105.6483,,
462,104.8738,,
463,105.5255,,
464,107.4522,,
465,107.4428,0.4074004545622861,0
466,109.0862,,
467,112.4674,,
468,108.8784,,
469,108.1889,,
470,112.6468,3.571133291833411,2
471,113.8368,,
472,112.864,,
473,114.4507,,
474,115.7636,,
475,115.2252,-10.316824684421029,-2
476,114.694,,
477,114.8268,,
478,114.362,,
479,110.7577,,
480,110.1317,-1.9083860452419035,-1
481,109.7617,,
482,106.5558,,
483,108.2963,,
484,107.8363,,
485,111.2509,2.7194914572740605,1
486,112.6642,,
487,113.1574,,
488,111.6872,,
489,112.759,,
490,111.9528,-5.0428599472786075,-2
491,111.7441,,
492,112.2089,,
493,111.2983,,
494,110.2929,,
495,109.2685,-0.4662148891587151,0
496,112.9013,,
497,112.1899,,
498,112.1425,,
499,109.6669,,
500,110.1886,-2.014274200862711,-1
501,107.3525,,
502,106.6886,,
503,104.801,,
504,105.6073,,
505,103.3688,-1.4439855159177406,-1
506,100.5707,,
507,101.8037,,
508,101.7089,,
509,103.0178,,
510,102.4677,-4.504775281926743,-2
511,101.32,,
512,103.1411,,
513,101.7942,,
514,99.8403,,
515,99.9257,-2.431620300290774,-1
516,97.4216,,
517,95.5151,,
518,91.4839,,
519,91.9677,,
520,93.4568,0.14830157341558114,0
521,94.8132,,
522,92.3755,,
523,94.3959,,
524,92.1289,,
525,91.6831,1.2233023548116975,1
526,91.8064,,
527,91.3417,,
528,96.198,,
529,94.32,,
530,94.8417,-1.0897160531209984,-1
531,88.6099,,
532,89.2454,,
533,92.3281,,
534,91.465,,
535,89.6154,-0.8337048413814613,0
536,91.3891,,
537,92.1234,,
538,89.663,,
539,90.6071,,
540,90.588,3.0658235539652527,2
541,89.9014,,
542,89.3578,,
543,89.6343,,
544,92.1615,,
545,93.573,-2.6861195227105883,-1
546,91.7992,,
547,91.5893,,
548,92.3904,,
549,90.3019,,
550,91.6466,7.257961196440221,2
551,92.276,,
552,92.419,,
553,92.2092,,
554,95.8713,,
555,96.0811,0.5706451454823958,0
556,96.7963,,
557,98.2363,,
558,97.1492,,
559,96.3481,,
560,96.4339,5.617358591300048,2
561,96.4816,,
562,97.5211,,
563,97.7691,,
564,99.7336,,
565,101.0592,4.071458537847304,2
566,100.897,,
567,101.0115,,
568,101.002,,
569,101.7744,,
570,101.2118,3.271814832560612,2
571,100.7731,,
572,100.3153,,
573,102.6899,,
574,104.4828,,
575,103.9392,2.0068272823008604,1
576,104.8929,,
577,105.9705,,
578,104.7212,,
579,105.8179,,
580,103.5101,1.0802321811547506,1
581,103.6245,,
582,103.9678,,
583,105.322,,
584,106.8479,,
585,106.9051,-2.1952978993759347,-1
586,104.7594,,
587,102.4992,,
588,101.9556,,
589,102.1654,,
590,101.0592,-9.890078196190654,-2
591,100.7826,,
592,100.2104,,
593,99.5142,,
594,93.2869,,
595,90.4354,-2.331443172537111,-1
596,89.3959,,
597,89.3006,,
598,90.7692,,
599,89.8251,,
600,89.4605,-3.1467419256787776,-2
601,88.9616,,
602,89.0288,,
603,89.6332,,
604,88.7601,,
605,86.6781,1.386119360835723,1
606,86.8508,,
607,90.0746,,
608,89.7004,,
609,90.727,,
610,90.3816,3.784977680943588,2
611,91.3603,,
612,92.5212,,
613,93.9316,,
614,95.5819,,
615,96.3399,-2.69659427316138,-1
616,96.2823,,
617,95.8122,,
618,94.4689,,
619,93.7589,,
620,93.9508,3.6451327215033404,2
621,94.632,,
622,95.0158,,
623,94.9295,,
624,95.6107,,
625,94.8239,-2.100267330410104,-1
626,93.3943,,
627,93.5095,,
628,93.2024,,
629,93.5958,,
630,91.4658,-1.632908980878726,-1
631,91.2451,,
632,92.0223,,
633,91.6769,,
634,92.2046,,
635,89.614,-0.3662780182341207,0
636,88.3092,,
637,89.7963,,
638,90.5735,,
639,91.7249,,
640,92.0031,3.181036383775176,2
641,91.1396,,
642,91.6577,,
643,92.0511,,
644,92.7611,,
645,93.0489,2.7791584462027012,1
646,93.4711,,
647,92.9434,,
648,94.7855,,
649,94.776,,
650,95.7834,-0.27719270594025724,0
651,95.8218,,
652,95.9081,,
653,95.3996,,
654,94.6608,,
655,93.3943,1.8249965926377612,1
656,92.7515,,
657,98.7769,,
658,100.1106,,
659,99.9858,,
